5,7,0,1,1,2,4,2,9,9,7,1,5,2,4,3,9,9,3,9,7,4,6,6,8,5,1,4,2,9,1,0,3,0,4,6,3,2,7,2,1,2,1,1,8,6,0,9,1,6,1,0,3,0,2,0,2,1,3,4,5,7,8,5,6,6,6,1,3,6,2,8,3,1,5,0,2,7,8,3,6,1,6,3,4,2,0,4,1,4,4,7,3,4,3,8,3,4,4,11050272,N
7,0,1,1,2,4,2,9,9,7,1,5,2,4,3,9,9,3,9,7,4,6,6,8,5,1,4,2,9,1,0,3,0,4,6,3,2,7,2,1,2,1,1,8,6,0,9,1,6,1,0,3,0,2,0,2,1,3,4,5,7,8,5,6,6,6,1,3,6,2,8,3,1,5,0,2,7,8,3,6,1,6,3,4,2,0,4,1,4,4,7,3,4,3,8,3,4,4,2,11052000,Y
0,1,1,2,4,2,9,9,7,1,5,2,4,3,9,9,3,9,7,4,6,6,8,5,1,4,2,9,1,0,3,0,4,6,3,2,7,2,1,2,1,1,8,6,0,9,1,6,1,0,3,0,2,0,2,1,3,4,5,7,8,5,6,6,6,1,3,6,2,8,3,1,5,0,2,7,8,3,6,1,6,3,4,2,0,4,1,4,4,7,3,4,3,8,3,4,4,2,3,11053728,Y
1,1,2,4,2,9,9,7,1,5,2,4,3,9,9,3,9,7,4,6,6,8,5,1,4,2,9,1,0,3,0,4,6,3,2,7,2,1,2,1,1,8,6,0,9,1,6,1,0,3,0,2,0,2,1,3,4,5,7,8,5,6,6,6,1,3,6,2,8,3,1,5,0,2,7,8,3,6,1,6,3,4,2,0,4,1,4,4,7,3,4,3,8,3,4,4,2,3,3,11056320,N
1,2,4,2,9,9,7,1,5,2,4,3,9,9,3,9,7,4,6,6,8,5,1,4,2,9,1,0,3,0,4,6,3,2,7,2,1,2,1,1,8,6,0,9,1,6,1,0,3,0,2,0,2,1,3,4,5,7,8,5,6,6,6,1,3,6,2,8,3,1,5,0,2,7,8,3,6,1,6,3,4,2,0,4,1,4,4,7,3,4,3,8,3,4,4,2,3,3,0,11058048,N
2,4,2,9,9,7,1,5,2,4,3,9,9,3,9,7,4,6,6,8,5,1,4,2,9,1,0,3,0,4,6,3,2,7,2,1,2,1,1,8,6,0,9,1,6,1,0,3,0,2,0,2,1,3,4,5,7,8,5,6,6,6,1,3,6,2,8,3,1,5,0,2,7,8,3,6,1,6,3,4,2,0,4,1,4,4,7,3,4,3,8,3,4,4,2,3,3,0,9,11059776,N
4,2,9,9,7,1,5,2,4,3,9,9,3,9,7,4,6,6,8,5,1,4,2,9,1,0,3,0,4,6,3,2,7,2,1,2,1,1,8,6,0,9,1,6,1,0,3,0,2,0,2,1,3,4,5,7,8,5,6,6,6,1,3,6,2,8,3,1,5,0,2,7,8,3,6,1,6,3,4,2,0,4,1,4,4,7,3,4,3,8,3,4,4,2,3,3,0,9,8,11062368,N
2,9,9,7,1,5,2,4,3,9,9,3,9,7,4,6,6,8,5,1,4,2,9,1,0,3,0,4,6,3,2,7,2,1,2,1,1,8,6,0,9,1,6,1,0,3,0,2,0,2,1,3,4,5,7,8,5,6,6,6,1,3,6,2,8,3,1,5,0,2,7,8,3,6,1,6,3,4,2,0,4,1,4,4,7,3,4,3,8,3,4,4,2,3,3,0,9,8,2,11064096,N
9,9,7,1,5,2,4,3,9,9,3,9,7,4,6,6,8,5,1,4,2,9,1,0,3,0,4,6,3,2,7,2,1,2,1,1,8,6,0,9,1,6,1,0,3,0,2,0,2,1,3,4,5,7,8,5,6,6,6,1,3,6,2,8,3,1,5,0,2,7,8,3,6,1,6,3,4,2,0,4,1,4,4,7,3,4,3,8,3,4,4,2,3,3,0,9,8,2,9,11065824,N
9,7,1,5,2,4,3,9,9,3,9,7,4,6,6,8,5,1,4,2,9,1,0,3,0,4,6,3,2,7,2,1,2,1,1,8,6,0,9,1,6,1,0,3,0,2,0,2,1,3,4,5,7,8,5,6,6,6,1,3,6,2,8,3,1,5,0,2,7,8,3,6,1,6,3,4,2,0,4,1,4,4,7,3,4,3,8,3,4,4,2,3,3,0,9,8,2,9,7,11068416,Y
7,1,5,2,4,3,9,9,3,9,7,4,6,6,8,5,1,4,2,9,1,0,3,0,4,6,3,2,7,2,1,2,1,1,8,6,0,9,1,6,1,0,3,0,2,0,2,1,3,4,5,7,8,5,6,6,6,1,3,6,2,8,3,1,5,0,2,7,8,3,6,1,6,3,4,2,0,4,1,4,4,7,3,4,3,8,3,4,4,2,3,3,0,9,8,2,9,7,3,11070144,N
1,5,2,4,3,9,9,3,9,7,4,6,6,8,5,1,4,2,9,1,0,3,0,4,6,3,2,7,2,1,2,1,1,8,6,0,9,1,6,1,0,3,0,2,0,2,1,3,4,5,7,8,5,6,6,6,1,3,6,2,8,3,1,5,0,2,7,8,3,6,1,6,3,4,2,0,4,1,4,4,7,3,4,3,8,3,4,4,2,3,3,0,9,8,2,9,7,3,7,11071872,N
5,2,4,3,9,9,3,9,7,4,6,6,8,5,1,4,2,9,1,0,3,0,4,6,3,2,7,2,1,2,1,1,8,6,0,9,1,6,1,0,3,0,2,0,2,1,3,4,5,7,8,5,6,6,6,1,3,6,2,8,3,1,5,0,2,7,8,3,6,1,6,3,4,2,0,4,1,4,4,7,3,4,3,8,3,4,4,2,3,3,0,9,8,2,9,7,3,7,4,11074464,N
2,4,3,9,9,3,9,7,4,6,6,8,5,1,4,2,9,1,0,3,0,4,6,3,2,7,2,1,2,1,1,8,6,0,9,1,6,1,0,3,0,2,0,2,1,3,4,5,7,8,5,6,6,6,1,3,6,2,8,3,1,5,0,2,7,8,3,6,1,6,3,4,2,0,4,1,4,4,7,3,4,3,8,3,4,4,2,3,3,0,9,8,2,9,7,3,7,4,0,11076192,N
